"c","t","v","h","l","o"
1.0471014,1576767600,6312.03802731,1.0515865,1.038002,1.0478191
1.05199999,1576771200,4211.30027509,1.05199999,1.0457773,1.0493523
1.052533,1576774800,5584.57092553,1.0541,1.04900002,1.0513156
1.0539474,1576778400,5460.11235228,1.05887777,1.0496287,1.0506982
1.0540318,1576782000,5607.75589401,1.05999999,1.04900002,1.0521804
1.0495329,1576785600,5259.73918697,1.0546885,1.049,1.0545539
1.0508214,1576789200,5520.41269341,1.055,1.0495083,1.0531935
1.0526961,1576792800,5603.27688089,1.057,1.0508208,1.0510198
1.0533761,1576796400,5571.22613606,1.0564766,1.05200002,1.0525136
1.0562674,1576800000,5876.33792329,1.0563131,1.05100002,1.05200006
1.0544302,1576803600,5358.66916715,1.0560392,1.05100002,1.05100002
1.051403,1576807200,5413.11526868,1.0558995,1.0502118,1.0523005
1.0539884,1576810800,5304.816,1.0553255,1.050587,1.0539027
1.0530844,1576814400,5322.915,1.0552891,1.0506163,1.0532587
1.053523,1576818000,5648.72115435,1.0563417,1.0507597,1.0541187
1.051305,1576821600,5376.22844045,1.0554912,1.0507055,1.0552575
1.0511984,1576825200,5324.589,1.055372,1.0505881,1.0530539
1.0496098,1576828800,5433.17209457,1.0525506,1.049,1.0520564
1.0473156,1576832400,5346.18619901,1.0522634,1.047073,1.0511879
1.0514589,1576836000,5808.93072261,1.0514589,1.04700002,1.0478052
1.0514265,1576839600,5165.58327163,1.0514265,1.047669,1.0511497
1.0475,1576843200,5533.8079123,1.05299997,1.04700002,1.0501686
1.0494373,1576846800,5544.1454422,1.0520822,1.0473319,1.050491
1.0489397,1576850400,5388.67928475,1.04999999,1.0473255,1.0486682
1.0508734,1576854000,2131.77214,1.0512035,1.0453857,1.0491535
1.0469014,1576857600,5395.959,1.0512862,1.0466076,1.0468708
1.0502235,1576861200,5352.72032213,1.0511494,1.045,1.0507473
1.0489894,1576864800,5237.69695445,1.0508195,1.0461,1.0506485
1.0514079,1576868400,5470.26836058,1.0514079,1.0466158,1.048354
1.0482507,1576872000,5743.70264384,1.05199999,1.0468001,1.0484118
1.0492311,1576875600,5729.78256485,1.0518,1.04600005,1.0487663
1.0466843,1576879200,5537.23138487,1.04999999,1.046401,1.047047
1.0494359,1576882800,5778.51184908,1.051,1.0464182,1.0467
1.0477203,1576886400,5441.85346479,1.0518,1.0467716,1.0492009
1.0473589,1576890000,5354.43745227,1.0518,1.0465803,1.0480771
1.0496927,1576893600,5293.395,1.0512157,1.0466868,1.0501143
1.0512466,1576897200,5362.722,1.0512466,1.0466537,1.0490598
1.0510053,1576900800,5317.56621945,1.052,1.0470466,1.0479339
1.0484369,1576904400,5366.595,1.0514888,1.0475395,1.0480253
1.0488984,1576908000,5068.467,1.051389,1.0475068,1.0503703
